bedrooms,bathrooms,sqft_living,sqft_lot,waterfront,price,zipcode
3,2.5,2753,65005,1,1350000,98070
3,1,1190,9199,0,228000,98148
3,1.75,1260,8400,0,289000,98148
4,2.5,3450,39683,0,720000,98010
3,1.75,1960,15681,0,247500,98032
3,2.5,2070,13241,0,850830,98102
4,1,2550,4000,0,890000,98109
5,2,2260,12500,0,258000,98032
3,2.5,1910,66211,0,440000,98024
2,1,1000,10200,0,213000,98024
3,2,2220,94300,0,416000,98010
3,2,1810,7209,0,260000,98032
1,0.75,760,10079,1,369900,98070
4,2,2050,4400,0,740000,98102
4,1.75,1275,20000,0,309600,98070
1,0.75,560,12120,0,299000,98014
2,1,833,143947,0,517534,98070
4,1.75,2085,174240,0,563500,98024
5,4.25,6070,171626,0,1550000,98024
3,1,940,7980,0,205000,98032
3,3,1970,20978,1,705000,98070
1,0.75,430,5050,0,80000,98014
3,2.75,3080,19635,0,299000,98032
6,5,6050,230652,0,1600000,98024
3,1,1040,7405,0,204000,98010
4,1.75,2320,12000,0,318888,98032
3,1,1180,3400,0,610000,98109
2,0.75,1160,15029,0,405000,98014
3,1.75,1430,10816,0,185000,98010
4,1.75,1800,4180,0,865000,98102
4,1.75,1710,7140,0,250000,98032
3,2,1300,9644,0,267000,98010
3,3.25,2660,17852,0,379000,98010
4,1.75,2510,7440,0,285000,98032
0,0,3064,4764,0,1100000,98102
4,1,1820,5400,0,1010000,98102
3,1.75,1660,16275,0,342000,98014
3,1,1250,18616,0,288349,98010
3,2.25,1580,47916,0,350000,98024
2,1,970,2970,0,425000,98102
3,2.25,2000,217800,0,540000,98024
4,4.5,5670,84267,0,935000,98010
3,1,1520,2500,0,550000,98109
2,1.75,1000,1760,0,453500,98109
3,2.5,1940,4000,0,725000,98109
2,0.75,440,8313,1,290000,98070
3,1,1330,40259,0,535000,98024
2,2,2930,14057,0,545000,98070
3,1.75,1150,17585,0,361000,98014
3,2.5,1260,889,0,479000,98109
3,1.75,1410,16105,0,307000,98014
4,2.5,1980,5000,0,410500,98014
2,2.5,2410,102366,0,600000,98024
5,2.75,3030,7000,0,321000,98032
5,2.25,2120,4000,0,682000,98109
2,1,960,28717,0,255000,98070
3,1,1370,17859,0,275000,98024
3,2.75,2150,31238,0,595000,98014
3,1.75,1620,1325,0,600000,98102
3,1.5,1200,890,0,464950,98109
3,2.5,2270,100545,0,585000,98070
3,1.75,1250,10122,0,253000,98010
3,1,1500,2555,0,707500,98109
3,1,1090,10620,0,140000,98032
3,2.5,2490,21937,0,504750,98014
